CarCompany,URL Image,Model,Price,Country of Origin,Class,Body,Style,Engine,Gearbox,Power (hp),Torque (Nm),Fuel Econ (L/100km),Fuel Econ (km/L),0-100 kph (sec),Top speed (kph)
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d78ef87c9b0fAudi_Q7_2020_front.jpg,Audi Q7,275000,Slovakia,Luxury Midsize SUV,5-door,wagon,2.0T+E I4 4WD,8AM,248,370,7.5,13.3,7.8,228
AUDI,https://www.drivearabia.com/carprices/media/catalog/54915a4a864b0Audi_Q7_2015_front.jpg,Audi Q7,275000,Slovakia,Luxury Midsize SUV,5-door,wagon,3.0SC V6 4WD,8AM,333,440,7.7,13,6.1,244
AUDI,https://www.drivearabia.com/carprices/media/catalog/5b1918ae71ef5Audi_Q8_2019_front.jpg,Audi Q8,315000,Slovakia,Luxury Midsize SUV,5-door,wagon,3.0SC V6 4WD,8AM,333,440,7,14.3,5.6,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5b1918ae71ef5Audi_Q8_2019_front.jpg,Audi Q8,315000,Slovakia,Luxury Midsize SUV,5-door,wagon,3.0SC V6 4WD,8AM,333,440,7,14.3,5.6,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5b1918ae71ef5Audi_Q8_2019_front.jpg,Audi Q8,315000,Slovakia,Luxury Midsize SUV,5-door,wagon,3.0SC V6 4WD,8AM,333,440,7,14.3,5.6,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d21dcde64ac1Audi_R8_Coupe_2019_front.jpg,Audi R8,560500,Germany,Premium Sports Coupe,2-door,coupe,5.2 V10 RWD,7AM,540,540,12.7,7.9,3.7,320
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d21dcde64ac1Audi_R8_Coupe_2019_front.jpg,Audi R8,560500,Germany,Premium Sports Coupe,2-door,coupe,5.2 V10 RWD,7AM,540,540,12.7,7.9,3.7,320
AUDI,https://www.drivearabia.com/carprices/media/catalog/5d21de51cd025Audi_R8_Coupe_2019_front.jpg,Audi R8,560500,Germany,Premium Sports Coupe,2-door,coupe,5.2 V10 4WD,7AM,562,560,11.8,8.5,3.4,324
AUDI,https://www.drivearabia.com/carprices/media/catalog/548e922068d09Audi_R8_V10_Spyder_2013_front.jpg,Audi R8 Spyder,455000,Germany,Premium Sports Convertible,2-door,coupe,4.2 V8 4WD,6M/7AM,430,430,13.6-14.6,7.4,4.8,300
AUDI,https://www.drivearabia.com/carprices/media/catalog/548e922068d09Audi_R8_V10_Spyder_2013_front.jpg,Audi R8 Spyder,455000,Germany,Premium Sports Convertible,2-door,coupe,4.2 V8 4WD,6M/7AM,430,430,13.6-14.6,7.4,4.8,300
AUDI,https://www.drivearabia.com/carprices/media/catalog/548e922068d09Audi_R8_V10_Spyder_2013_front.jpg,Audi R8 Spyder,455000,Germany,Premium Sports Convertible,2-door,coupe,4.2 V8 4WD,6M/7AM,430,430,13.6-14.6,7.4,4.8,300
AUDI,https://www.drivearabia.com/carprices/media/catalog/599b02a0c1b31Audi_RS3_Sportback_2018_front.jpg,Audi RS 3,235000,Germany,Premium Sub-Compact Hatchback,5-door,hatchback,2.5TC I5 4WD,7AM,400,480,8.1,12.3,4.1,280
AUDI,https://www.drivearabia.com/carprices/media/catalog/599b02a0c1b31Audi_RS3_Sportback_2018_front.jpg,Audi RS 3,235000,Germany,Premium Sub-Compact Hatchback,5-door,hatchback,2.5TC I5 4WD,7AM,400,480,8.1,12.3,4.1,280
AUDI,https://www.drivearabia.com/carprices/media/catalog/56d1869181b9aAudi_RS3_Sportback_2016_front.jpg,Audi RS 3,211000,Germany,Premium Sub-Compact Hatchback,5-door,hatchback,2.5TC I5 4WD,7AM,367,465,8.1,12.3,4.2,280
AUDI,https://www.drivearabia.com/carprices/media/catalog/5ebfd802062e3Audi_RS5_Coupe_2020_front.jpg,Audi RS 5,377000,Germany,Premium Compact Coupe,2-door,coupe,2.9TC V6 4WD,7A,450,600,8.7,11.5,3.9,250
AUDI,https://www.drivearabia.com/carprices/media/catalog/5ebfd802062e3Audi_RS5_Coupe_2020_front.jpg,Audi RS 5,377000,Germany,Premium Compact Coupe,2-door,coupe,2.9TC V6 4WD,7A,450,600,8.7,11.5,3.9,250
